Dates,HSBA LN Equity,BARC LN Equity,JPM UN Equity,BAC UN Equity
2020-01-01,5.919,1.796,105.10443,26.5508
2020-01-02,5.951,1.852,107.4153,27.13361
2020-01-03,5.944,1.833,105.69988,26.66565
2020-01-06,5.852,1.81,105.03799,26.48176
2020-01-07,5.834,1.831,103.50396,26.37112
2020-01-08,5.813,1.82,104.49447,26.68447
2020-01-09,5.881,1.829,105.22931,26.8203
2020-01-10,5.846,1.81,104.17241,26.59623
2020-01-13,5.908,1.817,105.57907,26.97961
2020-01-14,5.904,1.81,106.58885,27.12333
2020-01-15,5.898,1.785,104.90294,26.6017
2020-01-16,5.909,1.768,104.97935,26.55652
2020-01-17,5.94,1.752,106.11179,26.6508
2020-01-20,5.924,1.75,106.11179,26.6508
2020-01-21,5.856,1.744,104.89039,26.26092
2020-01-22,5.812,1.748,104.10542,26.17107
2020-01-23,5.73,1.715,104.1495,26.02593
2020-01-24,5.794,1.734,101.80442,25.64416
2020-01-27,5.591,1.707,101.11043,25.15699
2020-01-28,5.677,1.72,103.41565,25.5712
2020-01-29,5.663,1.72,103.15862,25.36889
2020-01-30,5.63,1.715,103.77243,25.56701
2020-01-31,5.518,1.68,100.30312,24.87875
2020-02-03,5.557,1.697,102.55286,25.35179
2020-02-04,5.637,1.72,103.81369,25.79804
2020-02-05,5.69,1.73,105.80591,26.69179
2020-02-06,5.735,1.767,106.394,26.80532
2020-02-07,5.813,1.772,106.32509,26.82738
2020-02-10,5.783,1.769,106.69249,26.87064
2020-02-11,5.914,1.79,106.55548,26.84735
2020-02-12,5.954,1.793,106.43221,26.93198
2020-02-13,5.899,1.763,105.60662,26.73866
2020-02-14,5.845,1.759,105.41411,26.72546
2020-02-17,5.907,1.777,105.41411,26.72546
2020-02-18,5.519,1.751,104.30637,26.35343
2020-02-19,5.59,1.767,106.43288,26.87723
2020-02-20,5.597,1.813,106.76347,27.06166
2020-02-21,5.622,1.796,104.67859,26.48374
2020-02-24,5.508,1.7,102.15661,25.29953
2020-02-25,5.397,1.659,97.03351,23.88564
2020-02-26,5.55,1.659,98.1097,23.72947
2020-02-27,5.293,1.544,94.20211,22.60944
2020-02-28,5.239,1.487,90.98817,22.33367
2020-03-02,5.201,1.433,94.87079,22.92919
2020-03-03,5.098,1.396,91.29654,21.66107
2020-03-04,5.122,1.385,93.32658,22.10715
2020-03-05,5.064,1.347,88.08254,20.69712
2020-03-06,4.938,1.309,83.11928,19.77236
2020-03-09,4.7,1.181,71.21408,16.71367
2020-03-10,4.785,1.168,77.905,18.26551
2020-03-11,4.855,1.179,74.67704,17.64202
2020-03-12,4.446,0.975,69.76468,16.25069
2020-03-13,4.659,1.024,84.15128,19.56592
2020-03-16,4.644,0.891,72.21904,16.70617
